Slice,Count,Total Area,Average Size,%Area,Mean,Mode,IntDen
Hg_200_uM_A_220216_5_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,293,18916.592509270,64.561749178,1.067471505,254.466259068,255,16445.228505626
Hg_200_uM_A_220216_6_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,201,32121.830154419,159.810100271,1.812648782,254.924890091,255,40742.463202785
Hg_200_uM_A_220216_6_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,219,13529.295023918,61.777602849,0.763463975,254.521135513,255,15736.562294877
Hg_200_uM_A_220216_7_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,256,43806.490032196,171.119101688,2.472019197,254.684353650,255,43617.274169922
Hg_200_uM_A_220216_7_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,272,19914.537560463,73.215211619,1.123785976,254.581038363,255,18654.431269029
Hg_200_uM_A_220216_8_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,509,64914.167492867,127.532745566,3.663134574,254.933735786,255,32519.368543464
Hg_200_uM_A_220216_8_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,574,38605.092532158,67.256258767,2.178502085,254.442106825,255,17131.388648056
Hg_200_uM_A_220216_9_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,432,71225.050117493,164.872801198,4.019260413,254.902366815,255,42036.828273067
Hg_200_uM_A_220216_9_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,453,29218.410020828,64.499801370,1.648807527,254.377413617,255,16422.477046470
Hg_200_uM_B_220216_10_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,335,32108.310068130,95.845701696,1.811885838,254.992345690,255,24440.010655463
Hg_200_uM_B_220216_10_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,348,25070.727530479,72.042320490,1.414752008,254.864584868,255,18362.123188589
Hg_200_uM_B_220216_1_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,67,8670.545005798,129.411119490,0.489282608,254.991485596,255,32998.227604653
Hg_200_uM_B_220216_1_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,72,4110.079998016,57.084444417,0.231933594,254.881207148,255,14547.555158827
Hg_200_uM_B_220216_2_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,184,26062.334963799,141.643124803,1.470708845,254.747230530,255,36103.187697701
Hg_200_uM_B_220216_2_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,176,13324.382582664,75.706719220,0.751900678,254.788213903,255,19297.867588390
Hg_200_uM_B_220216_3_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,208,34785.692484856,167.238906177,1.962971686,254.922493201,255,42631.936063326
Hg_200_uM_B_220216_3_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,206,13009.620044708,63.153495363,0.734138491,254.671079913,255,16087.405342176
Hg_200_uM_B_220216_4_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,228,35730.402625084,156.712292215,2.016282089,254.836813475,255,39952.183768289
Hg_200_uM_B_220216_4_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,215,18725.622526169,87.095918726,1.056694986,254.834039732,255,22192.421755769
Hg_200_uM_B_220216_5_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,170,32696.852443695,192.334426139,1.845097539,254.808516738,255,49030.068619313
Hg_200_uM_B_220216_5_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,179,10480.535001755,58.550474870,0.591421127,254.502983477,255,14915.925876724
Hg_200_uM_B_220216_6_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,230,46406.977370262,201.769466827,2.618765824,254.896145564,255,51433.882398522
